objectid,title,format,object_template,object_download,image_small,image_thumb,catalog number,site,unit/quad,area,ctx,sub ctx,mat class 1,mat type 1,mat class 2,mat type 2,object name,object description,manufacture 1,manufacture 2,item count,portion represented,associated with cat no.,surface feature,plastics_plastic color 1,plastics_plastic color 2,ceramic_paste color,ceramic_glaze,ceramic_decoration 1,ceramic_decor 1 description,ceramic_decor 1 color,ceramic_decoration 2,ceramic_decor 2 description,ceramic_decor 2 color,ceramic_decoration 3,ceramic_decor 3 description,ceramic_decor 3 color,glass_glass color,glass_container shape,glass_finish description 1,glass_finish description 2,glass_base description 1,glass_base description 2,glass_shoulder description,glass_neck description,glass_decoration 1 glass,glass_decoration 2 glass,maker mark,maker,maker location,product,product manufacturer,product manufacturer location,thickness/gauge (cm),length/height (cm),metal_nail d size,width (cm),rim diameter (cm),base diameter (cm),date start,date end,comments,most representative photo,faunal_animal class,faunal_species,faunal_body part,faunal_element category,faunal_element,faunal_tooth listing,faunal_side,faunal_bone modification,faunal_butchering marks,faunal_quantity
MHS_1,[MHS_1] FLATWARE - BASE (1),image/jpg,image,,,,1,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,BASE,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,'TONE CHINA'' UNICORN,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_2,[MHS_2] HOLLOWARE - RIM (1),image/jpg,image,,,,2,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,FLARED RIM,,,,,,,,,,,
MHS_3,[MHS_3] FLATWARE - BODY (1),image/jpg,image,,,,3,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,BODY,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_4,[MHS_4] HOLLOWARE - BODY (1),image/jpg,image,,,,4,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,BODY,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCALLOPED EDGE PREVENTED ACCURATE RIM MEASUREMENTS,,,,,,,,,,,
MHS_5,[MHS_5] FLATWARE - RIM  (2),image/jpg,image,,,,5,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,2,RIM ,,,,,WHITE,LEAD,TRANSFERPRINT,FLOWER AND LEAVES,LIGHT BLUE,MOLDED EDGE,SCALLOPED ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_6,[MHS_6] HOLLOWARE - RIM (1),image/jpg,image,,,,6,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,
MHS_7,[MHS_7] FLATWARE - RIM (1),image/jpg,image,,,,7,MHS,22,DOWNHILL,13,,CERAMIC,IRONSTONE,,,FLATWARE,FLATWARE,,,1,RIM,,,,,WHITE,LEAD,TRANSFERPRINT,LEAF,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
MHS_8,[MHS_8] SAUCER - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,8,MHS,22,DOWNHILL,13,,CERAMIC,PORCELAIN,,,SAUCER,SAUCER,,,2,WHOLE/ENTIRE/COMPLETE,,,,,WHITE,LEAD,DECALOMANIA,LEAVES,RED,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
MHS_9,[MHS_9] DOLL - HEAD (1),image/jpg,image,,,,9,MHS,22,DOWNHILL,13,,CERAMIC,PORCELAIN,,,DOLL,DOLL,MOLD SLIP,,1,HEAD,,,,,WHITE,LEAD,HANDPAINTED OVERGLAZE,BASE OF HAIR,BLACK,MOLDED,DOLL BODY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_10,[MHS_10] FORK DISPOSABLE - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,10,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,FORK,FORK DISPOSABLE,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,WHITE,,,,,,,,,,,,,,,,,,,,,,,'I17'',,,,,,,15,,2.5,,,,,WHITE PLASTIC DISPOSABLE FORK,,,,,,,,,,,
MHS_11,[MHS_11] CHALK SIDEWALK/CLASSROOM - UNKNOWN (1),image/jpg,image,,,,11,MHS,AREA 8,,SURFACE,,MINERAL,CHALK,,,CHALK,CHALK SIDEWALK/CLASSROOM,,,1,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,1,,0.5,,,,,BLUE SIDEWALK DRAWING CHALK,,,,,,,,,,,
MHS_12,[MHS_12] CAP RING SEAL - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,12,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,CAP,CAP RING SEAL,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,RED,,,,,,,,,,,,,,,,,,,,,,,'OCT2815SWC'',,,,,,,3,,,3,,,10/23/2015,RED PLASTIC RING ''OCT2315SWC'' PRINTED IN BLACK WITH THIN TEETH FOR SEALING,,,,,,,,,,,
MHS_13,[MHS_13] PENCIL MECHANICAL - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,13,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,RUBBER VULCANIZED,PENCIL,PENCIL MECHANICAL,MOLDED PLASTIC,,1,WHOLE/ENTIRE/COMPLETE,,,ORANGE,BLACK,,,,,,,,,,,,,,,,,,,,,,'MECHANICAL PENCIL 0.7MM'',,,,,,,15,,0.5,,,,,MECHANICAL PENCIL WITH ORANGE BODY AND BLACK TOP AND BOTTOM WHITE ERASER STILL CONTAINS GRAPHITE,,,,,,,,,,,
MHS_14,[MHS_14] PEN BALLPOINT - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,14,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,PAINT/INK MISC,PEN,PEN BALLPOINT,MOLDED PLASTIC,,2,WHOLE/ENTIRE/COMPLETE,,,BLACK,,,,,,,,,,,,,,,,,,,,,,,'OFFICE DEPOT'',OFFICE DEPOT,,,,,,15,,0.5,,,,,BLACK INK BALLPOINT PEN WITH TEETH MARKS ON CAP AND END,,,,,,,,,,,
MHS_15,[MHS_15] PENCIL MECHANICAL - LID/CAP (1),image/jpg,image,,,,15,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,PENCIL,PENCIL MECHANICAL,MOLDED PLASTIC,,1,LID/CAP,,,GREY,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,3,,0.5,,,,,GREY CAP TO MECHANICAL PENCIL,,,,,,,,,,,
MHS_16,[MHS_16] PEN/PENCIL GRIP - GRIP (1),image/jpg,image,,,,16,MHS,AREA 8,,SURFACE,,SYNTHETIC,RUBBER VULCANIZED,,,GRIP PENCIL/PEN,PEN/PENCIL GRIP,MOLDED PLASTIC,,1,GRIP,,,BLACK,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,4,,0.5,,,,,BLACK GRIP TO MECHANICAL PENCIL,,,,,,,,,,,
MHS_17,[MHS_17] CAP ERASER - LID/CAP (),image/jpg,image,,,,17,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,CAP,CAP ERASER,MOLDED PLASTIC,,,LID/CAP,,,CLEAR,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,1,,0.5,,,,,CLEAR PLASTIC ERASER LID FOR MECHANICAL PENCIL,,,,,,,,,,,
MHS_18,[MHS_18] PEN BALLPOINT - BODY (3),image/jpg,image,,,,18,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,PEN,PEN BALLPOINT,MOLDED PLASTIC,,3,BODY,,,BLACK,,,,,,,,,,,,,,,,,,,,,,,'BIC ROUND STI'',BIC,,,,,,11,,0.5,,,,,BLACK INK BALLPOINT PEN BADLY DAMAGED,,,,,,,,,,,
MHS_19,[MHS_19] CLIP PEN/PENCIL - CLIP (1),image/jpg,image,,,,19,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,CLIP,CLIP PEN/PENCIL,MOLDED PLASTIC,,1,CLIP,,,BLACK,,,,,,,,,,,,,,,,,,,,,,,'STANFORD CLICKSTER 0.5MM'',STANFORD,,,,,,4,,0.5,,,,,BLACK CLIP FOR MECHANICAL PENCIL,,,,,,,,,,,
MHS_20,[MHS_20] PENCIL WOOD - BODY (1),image/jpg,image,,,,20,MHS,AREA 8,,SURFACE,,ORGANIC,WOOD,MINERAL,GRAPHITE,PENCIL,PENCIL WOOD,MACHINE MADE,,1,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,'CIL TM USA GOL'',,,,,,,4.5,,0.5,,,,,WOODEN PENCIL WITH TAN PAINT AND BLUE LETTERS,,,,,,,,,,,
MHS_21,[MHS_21] PENCIL WOOD - BODY (1),image/jpg,image,,,,21,MHS,AREA 8,,SURFACE,,ORGANIC,WOOD,SYNTHETIC,RUBBER VULCANIZED,PENCIL,PENCIL WOOD,MACHINE MADE,,1,BODY,,,,,,,,,,,,,,,,,,,,,,,,,,'A 2HB SOFT'',,,,,,,8,,0.5,,,,,WOODEN PENCIL WITH TAN PAINT AND GREEN LETTERS RED ERASER WITH GREEN AND YELLOW FERRULE,,,,,,,,,,,
MHS_22,[MHS_22] TOY CAR - BODY (1),image/jpg,image,,,,22,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,,,TOY,TOY CAR,MOLDED PLASTIC,,1,BODY,,,GREY,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,3,,2.5,,,,,GREY PLASTIC FRONT TO TOY,,,,,,,,,,,
MHS_23,[MHS_23] KEY CHAIN - WHOLE/ENTIRE/COMPLETE (),image/jpg,image,,,,23,MHS,AREA 8,,SURFACE,,SYNTHETIC,PLASTIC MISC,METAL,STEEL STAINLESS,KEY CHAIN,KEY CHAIN,MOLDED PLASTIC,,,WHOLE/ENTIRE/COMPLETE,,,RED,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,4,,3,,,,,RED PLASTIC TAG WITH METAL RING PAPER SURFACE WITH SOME FADED INK,,,,,,,,,,,
MHS_24,[MHS_24] CAST METAL MISC - UNKNOWN (),image/jpg,image,,,,24,MHS,AREA 8,,SURFACE,,METAL,,,,METAL UNIDENTIFIED,CAST METAL MISC,MACHINE CUT,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,0.1,3.5,,1,,,,,METAL PIECE COLORED DARK BROWN CUT EDGES,,,,,,,,,,,
MHS_25,[MHS_25] LINE TRIMMER - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,25,MHS,QUAD 9,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,,LINE,LINE TRIMMER,,,2,WHOLE/ENTIRE/COMPLETE,,,GREEN,BLACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,1/4,,,,,TWO BLACK/GREEN/GREY COLORED WEEDWACKER CORDS,,,,,,,,,,,
MHS_26,[MHS_26] LINE TRIMMER - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,26,MHS,QUAD 9,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,,LINE,LINE TRIMMER,,,2,WHOLE/ENTIRE/COMPLETE,27,,BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,1/4,,,,,TWO BLUEISH GREEN WEEDWACKER CORDS,,,,,,,,,,,
MHS_27,[MHS_27] LINE TRIMMER - WHOLE/ENTIRE/COMPLETE (6),image/jpg,image,,,,27,MHS,QUAD 9,,SURFACE,,SYNTHETIC,PLASTIC MISC,SYNTHETIC,,LINE,LINE TRIMMER,,,6,WHOLE/ENTIRE/COMPLETE,26,,BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,1/4,,,,,SIX PIECES OF BLUEISH GREEN WEEDWACKER CORDS.,,,,,,,,,,,
MHS_28,[MHS_28] HOLLOWARE - RIM (1),image/jpg,image,,,,28,MHS,10,COURTYARD,3,B,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,
MHS_29,[MHS_29] HOLLOWARE - BODY (1),image/jpg,image,,,,29,MHS,10,,3,B,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,,1,BODY,,,,,WHITE,LEAD,TRANSFERPRINT,GEOMETRIC AND POSSIBLE FLORAL,BLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_30,[MHS_30] HOLLOWARE - BODY (1),image/jpg,image,,,,30,MHS,10,,3,B,CERAMIC,EARTHENWARE COARSE,,,HOLLOWARE,HOLLOWARE,,,1,BODY,,,,,TAN,SALT,BRISTOL GLAZ,,WHITE,ALBANY TYPE SLIP,,BROWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRISTOL GLAZE ON EXTERIOR AND ALBANY ON INTERIOR,,,,,,,,,,,
MHS_31,[MHS_31] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (7),image/jpg,image,,,,31,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,7,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9D,,,,,,,,,,,,,,,,,
MHS_32,[MHS_32] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (8),image/jpg,image,,,,32,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,8,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10D,,,,,,,,,,,,,,,,,
MHS_33,[MHS_33] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,33,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,2,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,20D,,,,,,,,,,,,,,,,,
MHS_34,[MHS_34] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (13),image/jpg,image,,,,34,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,13,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8D,,,,,,,,,,,,,,,,,
MHS_35,[MHS_35] NAIL WIRE FINISHING - WHOLE/ENTIRE/COMPLETE (3),image/jpg,image,,,,35,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE FINISHING,WIRE DRAWN,,3,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,8D,,,,,,,,,,,,,,,,,
MHS_36,[MHS_36] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (4),image/jpg,image,,,,36,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,4,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6D,,,,,,,,,,,,,,,,,
MHS_37,[MHS_37] TACK WIRE - WHOLE/ENTIRE/COMPLETE (1),image/jpg,image,,,,37,MHS,22,DOWNHILL,11,,METAL,IRON,,,TACK,TACK WIRE,WIRE DRAWN,,1,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,
MHS_38,[MHS_38] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (5),image/jpg,image,,,,38,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,5,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6D,,,,,,,,,,,,,,,,,
MHS_39,[MHS_39] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (7),image/jpg,image,,,,39,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,7,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4D,,,,,,,,,,,,,,,,,
MHS_40,[MHS_40] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (6),image/jpg,image,,,,40,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,6,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3D,,,,,,SLIGHTER THICKER THAN NAILS IN CATALOG #41,,,,,,,,,,,
MHS_41,[MHS_41] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (6),image/jpg,image,,,,41,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,6,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3D,,,,,,SLIGHTLY THINNER THAN NAILS IN CATALOG #40,,,,,,,,,,,
MHS_42,[MHS_42] NAIL WIRE COMMON - WHOLE/ENTIRE/COMPLETE (2),image/jpg,image,,,,42,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,2,WHOLE/ENTIRE/COMPLETE,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3D,,,,,,,,,,,,,,,,,
MHS_43,[MHS_43] NAIL WIRE COMMON - SHAFT (8),image/jpg,image,,,,43,MHS,22,DOWNHILL,11,,METAL,IRON,,,NAIL,NAIL WIRE COMMON,WIRE DRAWN,,8,SHAFT,,OXIDIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIOUS LENGTHS OF FRAGMENTS,,,,,,,,,,,
MHS_44,[MHS_44] HOLLOWARE - RIM (1),image/jpg,image,,,,44,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,,,,WHITE,LEAD,UNDECORATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
MHS_45,[MHS_45] FLATWARE - RIM (1),image/jpg,image,,,,45,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,FLATWARE,FLATWARE,,,1,RIM,,,,,WHITE,LEAD,DECALOMANIA,FLORAL,GREEN,MOLDED,SCALES,,GILT (GOLD OR SILVER),GOLD,,,,,,,,,,,,,,,,,,,,,,15,,,,DECORATION OF TREES,,,,,,,,,,,
MHS_46,[MHS_46] FLATWARE - BODY (1),image/jpg,image,,,,46,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,FLATWARE,FLATWARE,,,1,BODY,,,,,WHITE,LEAD,DECALOMANIA,FLORAL,BROWN,ENAMELED OVERGLAZE,TWO DOTS OF PINK AND GREEN,POLYCHROME,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENAMEL OVER THE DECAL,,,,,,,,,,,
MHS_47,[MHS_47] TEACUP - BODY (1),image/jpg,image,,,,47,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,TOY,TEACUP,,,1,BODY,,,,,WHITE,LEAD,UNDECORATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2,,,,,,,,,,,,,,
MHS_48,[MHS_48] FLATWARE - BODY (1),image/jpg,image,,,,48,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,FLATWARE,FLATWARE,,,1,BODY,,,,,WHITE,LEAD,DECALOMANIA,,GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUST A SMALL GREEN FLECK IN BOTTOM CORNER,,,,,,,,,,,
MHS_49,[MHS_49]  - UNKNOWN (1),image/jpg,image,,,,49,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,UNKNOWN,,,,1,UNKNOWN,,,,,WHITE,UNGLAZED,UNDECORATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ROUGH, UNGLAZED ",,,,,,,,,,,
MHS_50,[MHS_50] HOLLOWARE - BODY (2),image/jpg,image,,,,50,MHS,22,DOWNHILL,11,,CERAMIC,PORCELAIN,,,HOLLOWARE,HOLLOWARE,,,2,BODY,,,,,WHITE,LEAD,UNDECORATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_51,[MHS_51] HOLLOWARE - RIM (1),image/jpg,image,,,,51,MHS,22,DOWNHILL,11,,CERAMIC,IRONSTONE,,,HOLLOWARE,HOLLOWARE,,,1,RIM,,BURNING,,,WHITE,LEAD,UNDECORATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
MHS_52,[MHS_52] FLAT GLASS - WHOLE/ENTIRE/COMPLETE (3),image/jpg,image,,,,52,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,FLAT GLASS,FLAT GLASS,,,3,WHOLE/ENTIRE/COMPLETE,,PATINA,,,,,,,,,,,,,,NATURAL GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_53,[MHS_53] BOTTLE SODA - FINISH (1),image/jpg,image,,,,53,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE SODA,SEMI-AUTOMATIC/MACHINE MOLDED (OWEN’S SCAR),,1,FINISH,54,,,,,,,,,,,,,,,COKE GREEN,CYLINDRICAL,CROWN ,,,,,,PAINTED/APPLIED COLOR LABEL,,,,,'E'',COCA COLA,,,,,,3,,,,"IT PROBABALY HAD COKE WRITTEN, NOT COCA COLA",,,,,,,,,,,
MHS_54,[MHS_54] BOTTLE SODA - BASE (1),image/jpg,image,,,,54,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE SODA,SEMI-AUTOMATIC/MACHINE MOLDED (OWEN’S SCAR),,1,BASE,53,,,,,,,,,,,,,,,COKE GREEN,CYLINDRICAL,,,,,,,EMBOSSED,,'SANTA CRUZ CAL'' ''20'',COCA-COLA BOTTLING CO,SANTA CRUZ CA,,,,,,,,,6,,,THERE IS WRITING UNDER ''SANTA CRUZ'' BUT I AM UNABLE TO DECIFER IT,,,,,,,,,,,
MHS_55,[MHS_55] JAR FOODSTUFF - FINISH (1),image/jpg,image,,,,55,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,JAR,JAR FOODSTUFF,AT LEAST 2 PART MOLD,,1,FINISH,,,,,,,,,,,,,,,,NATURAL BLUE,CYLINDRICAL,THREADED LUG,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
MHS_56,[MHS_56] BOTTLE MISC - BODY (1),image/jpg,image,,,,56,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE MISC,AT LEAST 2 PART MOLD,,1,BODY,,,,,,,,,,,,,,,,SELENIUM,CYLINDRICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_57,[MHS_57] BOTTLE BEVERAGE MISC - BASE (1),image/jpg,image,,,,57,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE BEVERAGE MISC,AT LEAST 2 PART MOLD,,1,BASE,,,,,,,,,,,,,,,,TRANSPARENT/CLEAR/COLORLESS,CYLINDRICAL,,,,,,,EMBOSSED,,'N'',,,,,,,,,,,6,,,THERE ARE OTHER PARTIAL LETTERS OR NUMBERS ON THE BOTTOM BUT THEY ARE INDECIPHERABLE DUE TO THE BREAK,,,,,,,,,,,
MHS_58,[MHS_58] BOTTLE PANELED MISC - BODY (1),image/jpg,image,,,,58,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE PANELED MISC,AT LEAST 2 PART MOLD,,1,BODY,,,,,,,,,,,,,,,,MANGANESE,PANELED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_59,[MHS_59] BOTTLE MISC - BODY (2),image/jpg,image,,,,59,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE MISC,AT LEAST 2 PART MOLD,,2,BODY,,PATINA,,,,,,,,,,,,,,TRANSPARENT/CLEAR/COLORLESS,CYLINDRICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_60,[MHS_60] BOTTLE PANELED MISC - BODY (2),image/jpg,image,,,,60,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE PANELED MISC,AT LEAST 2 PART MOLD,,2,BODY,,PATINA,,,,,,,,,,,,,,TRANSPARENT/CLEAR/COLORLESS,PANELED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_61,[MHS_61] BOTTLE PANELED MISC - BODY (1),image/jpg,image,,,,61,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE PANELED MISC,AT LEAST 2 PART MOLD,,1,BODY,,,,,,,,,,,,,,,,TRANSPARENT/CLEAR/COLORLESS,PANELED,,,,,,,EMBOSSED,,,,,,,,,,,,,,,,EMBOSED WITH A LINE,,,,,,,,,,,
MHS_62,[MHS_62] BOTTLE ALCOHOL MISC - BODY (4),image/jpg,image,,,,62,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE ALCOHOL MISC,AT LEAST 2 PART MOLD,,4,BODY,,,,,,,,,,,,,,,,AMBER,CYLINDRICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_63,[MHS_63] BOTTLE ALCOHOL MISC - BODY (2),image/jpg,image,,,,63,MHS,QUAD 10,DOWNHILL,SURFACE,,GLASS,GLASS,,,BOTTLE,BOTTLE ALCOHOL MISC,AT LEAST 2 PART MOLD,,2,BODY,,,,,,,,,,,,,,,,AMBER DARK,CYLINDRICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHS_64,[MHS_64] JAR MEDICINE/TOILETRY - RIM (1),image/jpg,image,,,,64,MHS,QUAD 11,DOWNHILL,SURFACE,,GLASS,GLASS,,,JAR,JAR MEDICINE/TOILETRY,AT LEAST 2 PART MOLD,,1,RIM,245,,,,,,,,,,,,,,,AMBER DARK,CYLINDRICAL,COLLARD RING FINISH,,,,,,,,,,,,,,,,,,12,,,,SCOOPED DOWN FROM FINISH INTO A NECK RING THEN STRAIGHT UNTIL SHOULDER,,,,,,,,,,,
